Fornecedor,ContaContabil,UniMedida,QtdReceber,QtdComprada,ValorReceber,ValorComprado,Recuperadas
47,1,10,0,1260,0.0,111850.2,0
8,1,0,0,608,0.0,2018.56,0
8,3,0,0,2700,0.0,26946.0,0
0,1,0,0,12,0.0,100784.04,1
0,1,1,0,13,0.0,121728.23,1
8,1,1,0,240,0.0,128277.6,0
8,1,1,0,54,0.0,96209.1,0
10,2,0,0,900,0.0,9990.0,0
48,2,0,0,1,0.0,78000.0,0
10,0,6,0,309600,0.0,139939.2,0
10,0,6,0,55200,0.0,8280.0,1
46,1,0,0,18,0.0,230702.22,1
49,3,0,0,180,0.0,1270.8,1
4,1,17,0,10,0.0,25549.3,0
22,1,5,0,240,0.0,2140.8,0
13,1,3,0,600,0.0,6000.0,1
13,3,3,0,27120,0.0,20068.8,1
46,1,0,12,600,33.12,1656.0,1
17,0,6,0,82800,0.0,79736.4,0
87,2,0,10,7000,96.0,67200.0,1
3,1,3,0,20,0.0,10.4,0
3,1,3,0,60,0.0,114.0,0
3,1,3,0,60,0.0,2145.0,1
3,1,3,0,90,0.0,37.8,1
3,1,5,0,26,0.0,19.76,0
3,1,0,0,30,0.0,1563.3,1
3,1,3,0,30,0.0,155.4,1
3,1,3,0,40,0.0,70.8,0
3,1,3,0,180,0.0,102.6,1
3,1,5,0,5,0.0,92.3,0
3,1,0,0,56,0.0,141.68,1
3,1,3,0,168,0.0,15120.0,1
3,3,3,0,60,0.0,2.4,0
3,3,3,0,80,0.0,468.8,1
48,2,0,0,1,0.0,78000.0,1
7,2,0,0,3120,0.0,35256.0,0
0,1,1,0,18,0.0,94946.94,1
13,1,1,0,6,0.0,2298.24,0
25,1,14,0,60,0.0,206.4,1
25,1,3,0,3600,0.0,9000.0,0
1,1,25,50,50,2000.0,2000.0,0
4,1,1,0,300,0.0,1532331.0,1
12,0,6,0,103200,0.0,51084.0,0
0,1,0,0,8,0.0,67189.36,1
46,1,3,0,720,0.0,37699.2,0
3,1,0,0,120000,0.0,2193600.0,1
5,4,0,0,1,0.0,1488.6855,1
13,1,3,14,1574,42.84,4816.44,0
13,1,3,0,2400,0.0,720.0,1
21,3,3,0,900,0.0,324.0,1
8,1,0,0,18,0.0,20317.86,0
0,2,0,160000,160000,81600.0,81600.0,0
47,1,4,0,40,0.0,18034.4,1
